data,obiekt,band,max,min,mean,max-min,max_after,min_after,mean_after,max-min_after
2020-04-07,trw,b11,1992,1003,1533.9756097560976,989,1925.0,1021.0,1535.7948717948718,904.0
2020-04-07,trw,b12,3522,1998,2940.6951219512193,1524,3448.0,2302.0,2950.371794871795,1146.0
2020-04-07,ws,b1,29,0,11.295454545454545,29,29,0,11.295454545454545,29
2020-04-07,ws,b2,97,16,55.73863636363637,81,97,16,55.73863636363637,81
2020-04-07,ws,b3,162,108,136.14772727272728,54,162,108,136.14772727272728,54
2020-04-07,ws,b4,100,53,76.79545454545455,47,100,53,76.79545454545455,47
2020-04-07,ws,b5,113,51,77.3409090909091,62,113,51,77.3409090909091,62
2020-04-07,ws,b6,98,13,33.125,85,98,13,33.125,85
2020-04-07,ws,b7,83,25,43.375,58,83,25,43.375,58
2020-04-07,ws,b8,87,16,43.67045454545455,71,87,16,43.67045454545455,71
2020-04-07,ws,b9,1271,0,51.81818181818182,1271,271.0,0.0,24.023809523809526,271.0
2020-04-07,ws,b10,69,15,33.86363636363637,54,69,15,33.86363636363637,54
2020-04-07,ws,b11,53,1,26.363636363636363,52,53,1,26.363636363636363,52
2020-04-07,ws,b12,87,6,35.22727272727273,81,87,6,35.22727272727273,81
2020-04-07,wp,b1,189,9,108.20454545454545,180,166.0,13.0,108.89285714285714,153.0
2020-04-07,wp,b2,165,40,82.72727272727273,125,143.0,47.0,81.96428571428571,96.0
2020-04-07,wp,b3,372,102,210.0340909090909,270,290.0,127.0,208.96428571428572,163.0
2020-04-07,wp,b4,290,87,175.9659090909091,203,257.0,93.0,175.45238095238096,164.0
2020-04-07,wp,b5,704,100,292.46590909090907,604,687.0,113.0,287.3333333333333,574.0
2020-04-07,wp,b6,2026,0,448.71590909090907,2026,1561.0,8.0,422.9761904761905,1553.0
2020-04-07,wp,b7,2550,0,501.57954545454544,2550,1515.0,2.0,469.2261904761905,1513.0
2020-04-07,wp,b8,1779,159,337.20454545454544,1620,853.0,167.0,312.23809523809524,686.0
2020-04-07,wp,b9,3940,921,2320.7272727272725,3019,3526.0,1079.0,2320.4166666666665,2447.0
2020-04-07,wp,b10,1484,156,558.2386363636364,1328,1210.0,168.0,545.8095238095239,1042.0
2020-04-07,wp,b11,774,88,300.29545454545456,686,660.0,101.0,294.7857142857143,559.0
2020-04-07,wp,b12,2632,0,570.2159090909091,2632,1865.0,21.0,539.4761904761905,1844.0
2020-04-07,zab,b1,1745,185,516.4285714285714,1560,1435.0,257.0,497.8625,1178.0
2020-04-07,zab,b2,7956,83,1500.7857142857142,7873,5684.0,231.0,1380.8125,5453.0
2020-04-07,zab,b3,8072,404,1641.9642857142858,7668,5824.0,454.0,1519.9125,5370.0
2020-04-07,zab,b4,8304,190,1736.9404761904761,8114,6348.0,405.0,1616.8625,5943.0
2020-04-07,zab,b5,5477,630,1694.1309523809523,4847,5250.0,803.0,1625.35,4447.0
2020-04-07,zab,b6,6070,774,2160.0714285714284,5296,4511.0,1130.0,2111.2875,3381.0
2020-04-07,zab,b7,5415,832,2274.9285714285716,4583,4836.0,1110.0,2234.1125,3726.0
2020-04-07,zab,b8,7537,859,2480.1666666666665,6678,7076.0,959.0,2393.6,6117.0
2020-04-07,zab,b9,3644,1657,2502.440476190476,1987,3369.0,1764.0,2495.0375,1605.0
2020-04-07,zab,b10,5797,1379,2505.8214285714284,4418,5129.0,1403.0,2458.1375,3726.0
2020-04-07,zab,b11,6279,949,2068.6785714285716,5330,4846.0,1061.0,2008.125,3785.0
2020-04-07,zab,b12,5735,1072,2378.095238095238,4663,4310.0,1334.0,2332.9,2976.0
2020-04-07,igl,b1,57,29,42.6063829787234,28,57,29,42.6063829787234,28
2020-04-07,igl,b2,165,63,114.26595744680851,102,150.0,75.0,114.24444444444444,75.0
2020-04-07,igl,b3,363,191,278.3191489361702,172,351.0,220.0,278.22222222222223,131.0
2020-04-07,igl,b4,252,138,184.96808510638297,114,246.0,143.0,184.54444444444445,103.0
2020-04-07,igl,b5,558,403,499.32978723404256,155,557.0,435.0,499.85555555555555,122.0
2020-04-07,igl,b6,1691,1181,1502.8191489361702,510,1665.0,1340.0,1504.6333333333334,325.0
2020-04-07,igl,b7,2016,1400,1770.4255319148936,616,1993.0,1495.0,1772.2777777777778,498.0
2020-04-07,igl,b8,2197,1521,1877.2553191489362,676,2155.0,1574.0,1878.111111111111,581.0
2020-04-07,igl,b9,2120,1784,1970.127659574468,336,2091.0,1841.0,1970.4666666666667,250.0
2020-04-07,igl,b10,909,702,781.0744680851063,207,886.0,715.0,779.9444444444445,171.0
2020-04-07,igl,b11,444,298,347.1808510638298,146,418.0,304.0,346.27777777777777,114.0
2020-04-07,igl,b12,2195,1581,1951.404255319149,614,2156.0,1675.0,1953.5777777777778,481.0
